Season,Date,League,HomeTeam,AwayTeam,FTHG,FTAG,FTR,SeasonStartYear,league_offset
2015/16,2015-08-07,france,Lille,Paris SG,0,1,A,2015,11.083
2015/16,2015-08-08,england,Bournemouth,Aston Villa,0,1,A,2015,14.25
2015/16,2015-08-08,england,Chelsea,Swansea,2,2,D,2015,14.25
2015/16,2015-08-08,england,Everton,Watford,2,2,D,2015,14.25
2015/16,2015-08-08,england,Leicester,Sunderland,4,2,H,2015,14.25
2015/16,2015-08-08,england,Man United,Tottenham,1,0,H,2015,14.25
2015/16,2015-08-08,england,Norwich,Crystal Palace,1,3,A,2015,14.25
2015/16,2015-08-08,france,Bastia,Rennes,2,1,H,2015,11.083
2015/16,2015-08-08,france,Marseille,Caen,0,1,A,2015,11.083
2015/16,2015-08-08,france,Montpellier,Angers,0,2,A,2015,11.083
2015/16,2015-08-08,france,Nantes,Guingamp,1,0,H,2015,11.083
2015/16,2015-08-08,france,Nice,Monaco,1,2,A,2015,11.083
2015/16,2015-08-08,france,Troyes,Ajaccio GFCO,0,0,D,2015,11.083
2015/16,2015-08-09,england,Arsenal,West Ham,0,2,A,2015,14.25
2015/16,2015-08-09,england,Newcastle,Southampton,2,2,D,2015,14.25
2015/16,2015-08-09,england,Stoke,Liverpool,0,1,A,2015,14.25
2015/16,2015-08-09,france,Bordeaux,Reims,1,2,A,2015,11.083
2015/16,2015-08-09,france,Lyon,Lorient,0,0,D,2015,11.083
2015/16,2015-08-09,france,Toulouse,St Etienne,2,1,H,2015,11.083
2015/16,2015-08-10,england,West Brom,Man City,0,3,A,2015,14.25
2015/16,2015-08-14,england,Aston Villa,Man United,0,1,A,2015,14.25
2015/16,2015-08-14,germany,Bayern Munich,Hamburg,5,0,H,2015,16.428
2015/16,2015-08-14,france,Monaco,Lille,0,0,D,2015,11.083
2015/16,2015-08-15,england,Southampton,Everton,0,3,A,2015,14.25
2015/16,2015-08-15,england,Sunderland,Norwich,1,3,A,2015,14.25
2015/16,2015-08-15,england,Swansea,Newcastle,2,0,H,2015,14.25
2015/16,2015-08-15,england,Tottenham,Stoke,2,2,D,2015,14.25
2015/16,2015-08-15,england,Watford,West Brom,0,0,D,2015,14.25
2015/16,2015-08-15,england,West Ham,Leicester,1,2,A,2015,14.25
2015/16,2015-08-15,germany,Augsburg,Hertha,0,1,A,2015,16.428
2015/16,2015-08-15,germany,Darmstadt,Hannover,2,2,D,2015,16.428
2015/16,2015-08-15,germany,Dortmund,M'gladbach,4,0,H,2015,16.428
2015/16,2015-08-15,germany,Leverkusen,Hoffenheim,2,1,H,2015,16.428
2015/16,2015-08-15,germany,Mainz,Ingolstadt,0,1,A,2015,16.428
2015/16,2015-08-15,germany,Werder Bremen,Schalke 04,0,3,A,2015,16.428
2015/16,2015-08-15,france,Angers,Nantes,0,0,D,2015,11.083
2015/16,2015-08-15,france,Caen,Toulouse,1,0,H,2015,11.083
2015/16,2015-08-15,france,Guingamp,Lyon,0,1,A,2015,11.083
2015/16,2015-08-15,france,Rennes,Montpellier,1,0,H,2015,11.083
2015/16,2015-08-15,france,St Etienne,Bordeaux,1,1,D,2015,11.083
2015/16,2015-08-15,france,Troyes,Nice,3,3,D,2015,11.083
2015/16,2015-08-16,england,Crystal Palace,Arsenal,1,2,A,2015,14.25
2015/16,2015-08-16,england,Man City,Chelsea,3,0,H,2015,14.25
2015/16,2015-08-16,germany,Stuttgart,FC Koln,1,3,A,2015,16.428
2015/16,2015-08-16,germany,Wolfsburg,Ein Frankfurt,2,1,H,2015,16.428
2015/16,2015-08-16,france,Lorient,Bastia,1,1,D,2015,11.083
2015/16,2015-08-16,france,Paris SG,Ajaccio GFCO,2,0,H,2015,11.083
2015/16,2015-08-16,france,Reims,Marseille,1,0,H,2015,11.083
2015/16,2015-08-17,england,Liverpool,Bournemouth,1,0,H,2015,14.25
2015/16,2015-08-21,spain,Malaga,Sevilla,0,0,D,2015,23.928
2015/16,2015-08-21,germany,Hertha,Werder Bremen,1,1,D,2015,16.428
2015/16,2015-08-21,france,Montpellier,Paris SG,0,1,A,2015,11.083
2015/16,2015-08-22,england,Crystal Palace,Aston Villa,2,1,H,2015,14.25
2015/16,2015-08-22,england,Leicester,Tottenham,1,1,D,2015,14.25
2015/16,2015-08-22,england,Man United,Newcastle,0,0,D,2015,14.25
2015/16,2015-08-22,england,Norwich,Stoke,1,1,D,2015,14.25
2015/16,2015-08-22,england,Sunderland,Swansea,1,1,D,2015,14.25
2015/16,2015-08-22,england,West Ham,Bournemouth,3,4,A,2015,14.25
2015/16,2015-08-22,spain,Ath Madrid,Las Palmas,1,0,H,2015,23.928
2015/16,2015-08-22,spain,Espanol,Getafe,1,0,H,2015,23.928
2015/16,2015-08-22,spain,La Coruna,Sociedad,0,0,D,2015,23.928
2015/16,2015-08-22,spain,Vallecano,Valencia,0,0,D,2015,23.928
2015/16,2015-08-22,italy,Lazio,Bologna,2,1,H,2015,11.5
2015/16,2015-08-22,italy,Verona,Roma,1,1,D,2015,11.5
2015/16,2015-08-22,germany,Ein Frankfurt,Augsburg,1,1,D,2015,16.428
2015/16,2015-08-22,germany,FC Koln,Wolfsburg,1,1,D,2015,16.428
2015/16,2015-08-22,germany,Hamburg,Stuttgart,3,2,H,2015,16.428
2015/16,2015-08-22,germany,Hannover,Leverkusen,0,1,A,2015,16.428
2015/16,2015-08-22,germany,Hoffenheim,Bayern Munich,1,2,A,2015,16.428
2015/16,2015-08-22,germany,Schalke 04,Darmstadt,1,1,D,2015,16.428
2015/16,2015-08-22,france,Ajaccio GFCO,Angers,0,2,A,2015,11.083
2015/16,2015-08-22,france,Bastia,Guingamp,3,0,H,2015,11.083
2015/16,2015-08-22,france,Lyon,Rennes,1,2,A,2015,11.083
2015/16,2015-08-22,france,Nantes,Reims,1,0,H,2015,11.083
2015/16,2015-08-22,france,Nice,Caen,2,1,H,2015,11.083
2015/16,2015-08-22,france,Toulouse,Monaco,1,1,D,2015,11.083
2015/16,2015-08-23,england,Everton,Man City,0,2,A,2015,14.25
2015/16,2015-08-23,england,Watford,Southampton,0,0,D,2015,14.25
2015/16,2015-08-23,england,West Brom,Chelsea,2,3,A,2015,14.25
2015/16,2015-08-23,spain,Ath Bilbao,Barcelona,0,1,A,2015,23.928
2015/16,2015-08-23,spain,Betis,Villarreal,1,1,D,2015,23.928
2015/16,2015-08-23,spain,Levante,Celta,1,2,A,2015,23.928
2015/16,2015-08-23,spain,Sp Gijon,Real Madrid,0,0,D,2015,23.928
2015/16,2015-08-23,italy,Empoli,Chievo,1,3,A,2015,11.5
2015/16,2015-08-23,italy,Fiorentina,Milan,2,0,H,2015,11.5
2015/16,2015-08-23,italy,Frosinone,Torino,1,2,A,2015,11.5
2015/16,2015-08-23,italy,Inter,Atalanta,1,0,H,2015,11.5
2015/16,2015-08-23,italy,Juventus,Udinese,0,1,A,2015,11.5
2015/16,2015-08-23,italy,Palermo,Genoa,1,0,H,2015,11.5
2015/16,2015-08-23,italy,Sampdoria,Carpi,5,2,H,2015,11.5
2015/16,2015-08-23,italy,Sassuolo,Napoli,2,1,H,2015,11.5
2015/16,2015-08-23,germany,Ingolstadt,Dortmund,0,4,A,2015,16.428
2015/16,2015-08-23,germany,M'gladbach,Mainz,1,2,A,2015,16.428
2015/16,2015-08-23,france,Lille,Bordeaux,0,0,D,2015,11.083
2015/16,2015-08-23,france,Lorient,St Etienne,0,1,A,2015,11.083
2015/16,2015-08-23,france,Marseille,Troyes,6,0,H,2015,11.083
2015/16,2015-08-24,england,Arsenal,Liverpool,0,0,D,2015,14.25
2015/16,2015-08-24,spain,Granada,Eibar,1,3,A,2015,23.928
2015/16,2015-08-28,spain,Villarreal,Espanol,3,1,H,2015,23.928
2015/16,2015-08-28,germany,Wolfsburg,Schalke 04,3,0,H,2015,16.428
2015/16,2015-08-28,france,Guingamp,Marseille,2,0,H,2015,11.083
2015/16,2015-08-29,england,Aston Villa,Sunderland,2,2,D,2015,14.25
2015/16,2015-08-29,england,Bournemouth,Leicester,1,1,D,2015,14.25
2015/16,2015-08-29,england,Chelsea,Crystal Palace,1,2,A,2015,14.25
2015/16,2015-08-29,england,Liverpool,West Ham,0,3,A,2015,14.25
2015/16,2015-08-29,england,Man City,Watford,2,0,H,2015,14.25
2015/16,2015-08-29,england,Newcastle,Arsenal,0,1,A,2015,14.25
2015/16,2015-08-29,england,Stoke,West Brom,0,1,A,2015,14.25
2015/16,2015-08-29,england,Tottenham,Everton,0,0,D,2015,14.25
2015/16,2015-08-29,spain,Barcelona,Malaga,1,0,H,2015,23.928
2015/16,2015-08-29,spain,Celta,Vallecano,3,0,H,2015,23.928
2015/16,2015-08-29,spain,Real Madrid,Betis,5,0,H,2015,23.928
2015/16,2015-08-29,spain,Sociedad,Sp Gijon,0,0,D,2015,23.928
2015/16,2015-08-29,italy,Bologna,Sassuolo,0,1,A,2015,11.5
2015/16,2015-08-29,italy,Milan,Empoli,2,1,H,2015,11.5
2015/16,2015-08-29,germany,Augsburg,Ingolstadt,0,1,A,2015,16.428
2015/16,2015-08-29,germany,Bayern Munich,Leverkusen,3,0,H,2015,16.428
2015/16,2015-08-29,germany,Darmstadt,Hoffenheim,0,0,D,2015,16.428
2015/16,2015-08-29,germany,FC Koln,Hamburg,2,1,H,2015,16.428
2015/16,2015-08-29,germany,Mainz,Hannover,3,0,H,2015,16.428
2015/16,2015-08-29,germany,Stuttgart,Ein Frankfurt,1,4,A,2015,16.428
2015/16,2015-08-29,france,Angers,Nice,1,1,D,2015,11.083
2015/16,2015-08-29,france,Caen,Lyon,0,4,A,2015,11.083
