RankFDB,RankOpta,Club,Country
3,4,Paris SG,france
12,7,Liverpool,england
5,3,Man City,england
1,2,Bayern Munich,germany
9,9,Inter,italy
8,10,Real Madrid,spain
19,25,Juventus,italy
16,22,Napoli,italy
4,5,Barcelona,spain
14,16,Leverkusen,germany
2,1,Arsenal,england
13,18,Milan,italy
6,13,Ath Madrid,spain
20,31,Villarreal,spain
7,6,Aston Villa,england
15,23,Roma,italy
11,14,Dortmund,germany
26,30,RB Leipzig,germany
10,8,Chelsea,england
34,36,Lens,france
25,38,Betis,spain
24,27,Marseille,france
32,35,Lille,france
30,32,Bologna,italy
17,12,Crystal Palace,france
